#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2013 12 12 22 25  0.8  0.1 14.3  0.8  3.9 SSE  NW VERY_STEEP  3.8 322
2013 12 12 21 55  0.8  0.1 10.5  0.8  3.9  SW NNW VERY_STEEP  3.8 333
2013 12 12 21 25  0.9  0.1 10.5  0.9  4.2 WSW  NW VERY_STEEP  3.8 321
2013 12 12 20 55  0.9  0.1 10.5  0.9  4.2 SSE NNW VERY_STEEP  3.9 340
2013 12 12 20 25  0.9  0.1 10.5  0.9  4.2   S NNW VERY_STEEP  4.0 343
2013 12 12 19 55  1.0  0.1 11.8  0.9  4.5   W NNW VERY_STEEP  3.9 335
2013 12 12 19 25  1.0  0.1 11.8  1.0  4.8 WSW NNW VERY_STEEP  4.0 335
2013 12 12 18 55  1.2  0.1 10.5  1.2  4.8   S NNW VERY_STEEP  4.1 344
2013 12 12 18 25  1.3  0.1 10.5  1.3  5.0 SSE NNW VERY_STEEP  4.2 340
2013 12 12 17 55  1.3  0.1 11.1  1.3  5.0   W   N VERY_STEEP  4.3 349
2013 12 12 17 25  1.3  0.1 10.5  1.3  5.3   W NNW VERY_STEEP  4.3 344
2013 12 12 16 55  1.6  0.1 12.5  1.6  5.3  MM   N VERY_STEEP  4.5 352
2013 12 12 16 25  1.6  0.1 10.5  1.6  5.3   S   N VERY_STEEP  4.5 352
2013 12 12 15 55  1.6  0.1 10.5  1.6  5.3 SSW   N VERY_STEEP  4.5 356
2013 12 12 15 25  1.8  0.1 10.5  1.8  5.3 SSW NNW VERY_STEEP  4.6 343
2013 12 12 14 55  1.8  0.1 10.5  1.8  5.0   N NNW VERY_STEEP  4.5 347
2013 12 12 14 25  1.7  0.1 11.8  1.7  5.0   S NNW VERY_STEEP  4.5 346
2013 12 12 13 55  1.7  0.1 13.3  1.7  5.0  NW NNW VERY_STEEP  4.6 332
2013 12 12 13 25  1.7  0.1 10.5  1.7  5.3  SW NNW VERY_STEEP  4.6 339
2013 12 12 12 55  1.9  0.1 11.8  1.9  4.8  SW   N VERY_STEEP  4.8 349
2013 12 12 12 25  2.1  0.2 13.3  2.1  5.3  NE NNW VERY_STEEP  4.8 337
2013 12 12 11 55  2.0  0.1 10.5  2.0  4.8   S NNW VERY_STEEP  4.8 335
2013 12 12 11 25  1.9  0.2 11.1  1.9  7.1 SSE   W      STEEP  4.9 262
2013 12 12 10 55  2.0  0.2 10.5  2.0  7.1 WSW   W      STEEP  5.0 263
2013 12 12 10 25  2.0  0.1 10.5  2.0  7.1   W   W      STEEP  5.2 262
2013 12 12 09 55  2.0  0.2 10.5  2.0  7.1 WSW   W      STEEP  5.1 262
2013 12 12 09 25  2.2  0.2 10.5  2.2  7.1  SW   W      STEEP  5.4 266
2013 12 12 08 55  2.4  0.2 10.5  2.4  7.1   W   W      STEEP  5.5 262
2013 12 12 08 25  2.2  0.2 10.5  2.2  7.1   S   W      STEEP  5.3 263
2013 12 12 07 55  2.4  0.2 10.5  2.4  7.1 SSW WSW      STEEP  5.5 257
2013 12 12 07 25  2.3  0.2 10.5  2.3  7.1 WSW   W      STEEP  5.2 264
2013 12 12 06 55  2.2  0.2 10.5  2.2  6.7  SW   W VERY_STEEP  5.4 270
2013 12 12 06 25  2.0  0.2 10.5  2.0  6.7 SSW   W      STEEP  5.2 271
2013 12 12 05 55  2.0  0.2 10.5  2.0  6.7  SW   W      STEEP  5.3 267
2013 12 12 05 25  2.0  0.2 10.5  2.0  6.2   S   W VERY_STEEP  5.2 269
2013 12 12 04 55  2.1  0.2 11.1  2.1  6.7 SSW   W      STEEP  5.2 269
2013 12 12 04 25  1.9  0.2 10.5  1.9  6.7   S   W      STEEP  5.1 266
2013 12 12 03 55  1.7  0.2 10.5  1.7  6.7 SSW   W      STEEP  4.9 269
2013 12 12 03 25  1.8  0.2 10.5  1.8  6.7 SSW   W      STEEP  5.1 276
2013 12 12 02 55  1.8  0.2 10.5  1.8  6.7   S   W      STEEP  5.0 267
2013 12 12 02 25  1.7  0.2 10.5  1.7  6.7 SSW   W      STEEP  5.0 270
2013 12 12 01 55  1.8  0.3 10.5  1.7  6.7 SSW   W      STEEP  5.1 269
2013 12 12 01 25  1.8  0.2 11.1  1.8  6.7  SW   W      STEEP  5.2 270
2013 12 12 00 55  2.0  0.3 10.5  2.0  6.7 SSW   W      STEEP  5.3 269
2013 12 12 00 25  2.0  0.3 10.5  2.0  6.7 SSW   W      STEEP  5.4 267
2013 12 11 23 55  2.0  0.3 10.5  2.0  7.1 SSW   W      STEEP  5.2 263
2013 12 11 23 25  2.1  0.3 11.1  2.1  6.7   S   W      STEEP  5.4 271
2013 12 11 22 55  2.1  0.3 11.1  2.0  7.1   S   W      STEEP  5.4 266
2013 12 11 22 25  2.1  0.3 10.5  2.1  7.1 SSW   W      STEEP  5.3 264
2013 12 11 21 55  2.2  0.3 10.5  2.2  6.7  SW   W VERY_STEEP  5.5 271
2013 12 11 21 25  2.1  0.3 10.5  2.1  7.1  SW   W      STEEP  5.3 267
2013 12 11 20 55  2.3  0.4 10.5  2.3  7.1  SW   W      STEEP  5.5 264
2013 12 11 20 25  2.2  0.4 10.5  2.2  7.1  SW   W      STEEP  5.4 266
2013 12 11 19 55  2.1  0.4 11.1  2.0  6.7   S   W      STEEP  5.3 274
2013 12 11 19 25  2.2  0.4 11.1  2.2  7.1   S   W      STEEP  5.6 264
